#,Name,Icon,Image,Section,Description,Common Locations 1,Common Locations 2,Fuse Attack Power,Hearts Recovered,Unique Cooking Effects,Properties (Strength),Properties (Effect),Recoverable Materials 1,Recoverable Materials 2,Recoverable Materials 3,Recoverable Materials 4,Recoverable Materials 5,Recoverable Materials 6,Recoverable Materials 7,Recoverable Materials 8,Recoverable Materials 9,Recoverable Materials 10,Recoverable Materials 11,Recoverable Materials 12,Enemy Sensor Target 1,Enemy Sensor Target 2,Quest Required To Purchase,Name (Japanese),Description (Japanese),SpecialDeal,ActorName
203,Apple,,,Materials,"A common fruit eaten by people since ancient
times. Eat it fresh, or cook it to increase
its effect.",Hyrule Field,Hyrule Ridge,1,0.5,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,リンゴ,"太古の昔から 人々に食べられている果物 
そのまま食べてもいいし
料理の材料に使えば 効果もアップする",,Item_Fruit_A
204,Golden Apple,,,Materials,"A rare, very sweet fruit that seems to have an
extra sparkle to it. Sometimes found near
normal apples.",Hyrule Field,Hyrule Ridge,1,1.5,Effect Duration +00:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,金のリンゴ,"普通のリンゴに混じって 時折見つかる神秘的な
輝きを放つ果物  食べると味わった事のない
甘味が口の中いっぱいに広がる",,Item_Fruit_P
205,Palm Fruit,,,Materials,"Fruit from palm trees that grow near the
ocean. It doesn't offer any special effects
but will increase your heart recovery
when used as an ingredient.",East Necluda,Gerudo Desert,1,1,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ヤシの実,"海辺のヤシの木に実るフルーツ
特別な効果はないが料理に使うと
ハートを回復させる効果がある",,Item_Fruit_G
206,Wildberry,,,Materials,"A fruit that grows in cold, snowy regions
known for its tangy, sweet flavor. It doesn't
offer any special effects, but it's a popular
cooking ingredient.",Gerudo Highlands,Hebra Mountains,1,0.5,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,イチゴ,"雪の降る寒い地方で実るフルーツ
甘酸っぱい味が特徴で 特別な効果はないが
料理にもよく使われる",,Item_Fruit_B
207,Hylian Tomato,,,Materials,"A fruit found widely from cold areas to warm
climates. Full of nutrition, and kind of trendy
lately. Use it in cooking to recover more
hearts.",East Necluda,West Necluda,1,1,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ハイラルトマト,"寒冷地から 温暖な気候まで 幅広く分布する果実
栄養たっぷりで 近年注目されている
料理に使うと ハートの回復量が増える",,Item_Fruit_M
208,Hydromelon,,,Materials,"This resilient fruit can flourish even in the
heat of the desert. The hydrating liquid
inside provides a cooling effect that, when
cooked, increases your heat resistance.",Gerudo Desert,-,1,0.5,Heat Resistance,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ヒンヤリメロン,"砂漠でも育つ特殊なフルーツ
ジューシーな果肉には体温を下げる効果があり
料理に使うと 暑さに耐える効果を発揮する",,Item_Fruit_F
209,Spicy Pepper,,,Materials,"This pepper is exploding with spice.
Cook with it to create dishes that
will raise your body temperature and
help you withstand the cold.",Hyrule Field,Gerudo Desert,1,0.5,Cold Resistance,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ポカポカ草の実,"生で食べるとピリピリする実
料理に使うと 体が暖まり
寒いところでも耐えられるようになる",,Item_Fruit_I
210,Voltfruit,,,Materials,"Cacti found in the Gerudo Desert bear this
sweet fruit. It's naturally insulated, so when
cooked into a dish, it provides resistance
against electricity.",Gerudo Desert,-,1,0.5,Shock Resistance,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ビリビリフルーツ,"ゲルド砂漠のサボテンに実るフルーツ
甘い実には 絶縁成分が豊富に含まれており
料理に使うと 電気の攻撃に強くなる効果がある",,Item_Fruit_C
211,Fleet-Lotus Seeds,,,Materials,"The plant that bears these seeds grows near
deep water. The roots draw nutrients from the
water, which boosts your movement speed
when the seeds are cooked into a dish.",Lanayru Great Spring,Lanayru Wetlands,1,0.5,Speed Up,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゴーゴーハスの実,"水辺に咲いているハスの実
水中深く張り巡らせた根から集まった栄養は
料理に使うと 移動速度が上がる効果として現れる",,Item_Fruit_E
212,Mighty Bananas,,,Materials,"This fruit grows mainly in tropical forests
of the Faron region. When it's used as an
ingredient, the resulting dish will temporarily
increase your attack power.",Lake Floria,Eventide Island,1,0.5,Attack Up,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ツルギバナナ,"主にフィローネ地方の 熱帯林に実るフルーツ
皮に包まれた果肉には 筋力増強効果があるとされ
調理すると 攻撃力が増す料理ができる",,Item_Fruit_H
213,Fire Fruit,,,Materials,"A fruit that generates heat when struck.
Cooked correctly, its heating properties
improve blood flow and stimulate muscles to
raise attack power in high temperatures.",Hyrule Field,Eldin Canyon,1,0.25,Hot Weather Attack,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,火炎の実,"破裂すると熱を発する実 熱で筋肉を活性化する
成分を含むため 料理にして食す事で
高温時に強力な攻撃を繰り出せるようになる",,FireFruit
214,Ice Fruit,,,Materials,"A fruit that generates cold when struck.
Cooked correctly, it gives off an effect that
strengthens muscles and increases attack
power in cold temperatures.",Gerudo Highlands,Hebra Mountains,1,0.25,Cold Weather Attack,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,冷気の実,"破裂すると冷気を発する実 冷やすと普段使わない
筋繊維を強化する作用があり 料理して食べれば
寒冷時に強力な攻撃を繰り出せるようになる",,IceFruit
215,Splash Fruit,,,Materials,"A fruit that contains pressurized water.
Cooking it brings out its ability to enhance
swim speed when ingested.",Lanayru Great Spring,West Necluda,1,0.25,Swim Speed Up,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,水の実,"中に高圧の水を溜め込んだ木の実
手足の動きを滑らかにする成分によって
料理して食べると 速く泳げるようになる",,WaterFruit
216,Shock Fruit,,,Materials,"When cooked correctly, this shockingly tasty
fruit stimulates the consumer's muscles and
grants increased attack power during
thunderstorms.",East Necluda,Gerudo Desert,1,0.25,Stormy Weather Attack,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,電気の実,"破裂すると電気を発する実 雷鳴に反応して
筋力を刺激する成分を含むため 料理にして食すと
雷雨下で強力な攻撃を繰り出せるようになる",,ElectricalFruit
217,Dazzlefruit,,,Materials,"A fruit charged with powerful light. Break it to
unleash dazzling sparkles that blind any
monsters nearby.",Hyrule Field,Gerudo Highlands,1,0.25,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,カガヤキの実,"強い光をため込んだ木の実
破裂すると周囲にまばゆい閃光を放ち
光を受けた魔物の目をくらます事ができる",,LightFruit
218,Hylian Shroom,,,Materials,"A common mushroom found near trees
around Hyrule. Eat it to restore half a heart.",Hyrule Field,Hyrule Ridge,1,0.5,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ハイラルダケ,"ハイラルの森を代表するキノコ
木のそばに生える事が多く
食べるとハート回復の効果がある",,Item_Mushroom_E
219,Skyshroom,,,Materials,"A common mushroom that grows near trees
on sky islands. Eat it to restore health.",Great Sky Island,Thunderhead Isles,1,0.25,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ソラダケ,"空島の木の根元に生える ポピュラーなキノコ
食べるとハート回復の効果がある",,Item_Mushroom_P
220,Endura Shroom,,,Materials,"A rare yellowish-orange mushroom. Cook it
before eating to temporarily increase your
stamina limit.",North Tabantha Sky Archipelago,North Necluda Sky Archipelago,1,1,Extra Stamina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ガッツダケ,"めったに取れない黄色いキノコ
料理するとがんばりゲージの最大値が増える
というとても貴重な効果を発揮する",,Item_Mushroom_O
221,Stamella Shroom,,,Materials,"A nutritious mushroom chock-full of natural
energy. Cook it to release its stamina-
restoration properties.",Lanayru Great Spring,West Necluda,1,0.5,Stamina Recovery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ガンバリダケ,"大地のエネルギーをたくさんため込んだ
栄養満点のキノコ
料理に使うと がんばりが回復する効果を得られる",,Item_Mushroom_A
222,Hearty Truffle,,,Materials,"This rare mushroom has a rich scent.
It'll restore all your hearts and temporarily
increase your maximum hearts when used in
cooking.",Hyrule Field,West Necluda,1,2,Extra Hearts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,マックストリュフ,"かなり貴重なキノコの一種
土の中で育ち 強い香りがある 料理に使うと
ハート全回復と 最大値を増やす効果をもつ",,Item_Mushroom_F
223,Big Hearty Truffle,,,Materials,"Years of going unpicked have allowed this
hearty truffle to grow quite large. When
cooked into a dish, it'll restore all hearts and
temporarily increase your maximum hearts.",East Necluda,Gerudo Desert,1,3,Extra Hearts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,大マックストリュフ,"誰にも発見されず 大きく育ったマックストリュフ
蓄えられた栄養も豊富で 料理に使うと
ハートが全回復し さらに最大値を大きく増やす",,Item_Mushroom_N
224,Chillshroom,,,Materials,"Often found at the base of pine trees in cold
climates, these mushrooms are cool to the
touch and can be used to cook dishes that
allow you to stay cool even in arid regions.",Gerudo Highlands,Hebra Mountains,1,0.5,Heat Resistance,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ヒンヤリダケ,"雪山の針葉樹の根元によく生える
触るとヒンヤリしていて 料理に使うと
砂漠の暑さにも耐える事ができるようになる",,Item_Mushroom_B
225,Sunshroom,,,Materials,"A bright-red mushroom that grows in hot
climates. Imbued with the power of heat, 
it can be used to cook dishes that will
allow you to endure the bitter cold.",Eldin Canyon,Gerudo Highlands,1,0.5,Cold Resistance,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ポカポカダケ,"主に気温の高い地域に生える真っ赤なキノコ
見た目通り炎の力を宿しており 料理に使うと
寒い雪山でも耐えられる効果が発揮される",,Item_Mushroom_C
226,Zapshroom,,,Materials,"This mushroom grows wild in the Gerudo
region. The cap is naturally insulated, so
when used in cooking, it will offer protection
against electricity.",Gerudo Desert,Lanayru Wetlands,1,0.5,Shock Resistance,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ビリビリダケ,"ゲルド地方でよく見かけられるキノコ
傘の部分に 絶縁成分が豊富に含まれている
料理に使うと 電撃に耐性を得られる",,Item_Mushroom_H
227,Rushroom,,,Materials,"A mushroom that can grow almost anywhere
but prefers ceilings and sheer cliffs. Cook it
before eating to temporarily increase your
movement speed.",Gerudo Highlands,Tabantha Frontier,1,0.5,Speed Up,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゴーゴーダケ,"天井や切り立った崖にむりやり生えるキノコ
どこにでも生える生命力がすごい
料理に使うと移動力が向上する効果がある",,Item_MushroomGet_D
228,Razorshroom,,,Materials,"This mushroom is known for the natural slice
in its cap. Eating it fosters your competitive
spirit. Use it when cooking to prepare a dish
that will increase your strength.",Great Hyrule Forest,Tabantha Frontier,1,0.5,Attack Up,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ツルギダケ,"剣で斬りつけたようなヒビが特徴のキノコ
料理に使うと 傘の裏のひだに含まれる成分により
闘争心が向上し 攻撃力が増すと言われる",,Item_Mushroom_L
229,Ironshroom,,,Materials,"The cap of this mushroom is very hard.
Use it when cooking to prepare a dish
that increases your defense.",East Necluda,West Necluda,1,0.5,Defense Up,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ヨロイダケ,"傘がとても硬く発達したキノコ
その傘に含まれる成分は 調理して食べると 
体幹を強化する効能があり 防御力が増す",,Item_Mushroom_M
230,Silent Shroom,,,Materials,"A strange mushroom that glows softly in
the forest at night. Cooking it into a dish
unlocks the nutrients in its cap, resulting in
a meal that will allow you to move stealthily.",Akkala Highlands,West Necluda,1,0.5,Stealth Up,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,シノビダケ,"夜になると静かに光る 不思議なキノコ
料理に使うと 傘に含まれる成分で集中力が
高まり 物音を立てずに行動できるようになる",,Item_Mushroom_J
231,Brightcap,,,Materials,"A mushroom that grows in caves and contains
luminescent enzymes. Cook it into a dish to
give a glowing effect to anyone who eats it.",Hyrule Caves,-,1,0.5,Glow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,アカリダケ,"洞窟に生える 光る酵素を含有したキノコ
料理に使うと その発光成分で 食した者の
身体が ぼんやり光る効能を得られる",,Item_MushroomGet_K
232,Puffshroom,,,Materials,"A mushroom that spreads a cloud of fine
spores when a stimulus is applied. The bitter
powder makes them inedible.",The Depths,-,1,No restorative effect,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ケムリダケ,"非常に細かい胞子を蓄えたキノコ
刺激を受けると 一面に胞子の粉塵を撒き散らす
味はとても苦く 食べられたものではない",,SmokeFruit
233,Hyrule Herb,,,Materials,"This healthy herb has not changed since
ancient times. Cook it before eating to
increase the number of hearts it restores.",Hyrule Field,Hyrule Ridge,1,1,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ハイラル草,"はるか昔から 今の姿をしていたとされる ハーブ
生命力に満ちあふれており 料理に使うと
ハートを回復させる効果がある",,Item_PlantGet_A
234,Stambulb,,,Materials,"A wild plant with bulging roots often found in
cooler climates. It contains nutrients that
increase endurance. Cook it to restore
stamina.",Great Sky Island,Thunderhead Isles,1,0.5,Stamina Recovery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ガンバリ草,"冷涼な気候を好む 根元のふくらんだ野草
そこに体力や持久力を強化する成分が含まれ
料理に使うとがんばりが回復する効果が現れる",,Item_PlantGet_S
235,Hearty Radish,,,Materials,"A rare radish that grows best in sunny plains.
Cook it before eating to restore all your hearts
and temporarily increase your maximum
hearts.",Lanayru Sky Archipelago,South Lanayru Sky Archipelago,1,2.5,Extra Hearts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,マックスラディッシュ,"日当たりの良い草原に自生する珍しいカブ
料理に使うとハートが全回復し
さらに最大値を増やす効果がある",,Item_PlantGet_B
236,Big Hearty Radish,,,Materials,"This hearty radish is much larger than the
average radish. When cooked into a dish, it
restores all your hearts and temporarily
increases your maximum hearts.",Thunderhead Isles,North Necluda Sky Archipelago,1,4,Extra Hearts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,大マックスラディッシュ,"限界を超えて大きく育ったマックスラディッシュ
滋養強壮成分がとても豊富で 料理に使うと
ハートが全回復し さらに最大値を大きく増やす",,Item_PlantGet_C
237,Cool Safflina,,,Materials,"This medicinal plant grows in high elevations,
such as mountains in the Hebra or Gerudo
regions. When cooked into a dish, it will
temporarily increase your heat resistance.",Hebra Mountains,Tabantha Frontier,1,No restorative effect,Heat Resistance,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ヒンヤリハーブ,"ヘブラやゲルドの標高の高い山地で見かけられる
薬草の一種  葉に身体を冷やす成分を持っており
料理に使うと 耐暑効果を得る事ができる",,Item_PlantGet_E
238,Warm Safflina,,,Materials,"This medicinal plant grows in hot regions,
such as the Gerudo Desert. It's warm to the
touch and increases your cold resistance
when cooked into a dish.",Eldin Canyon,Gerudo Desert,1,No restorative effect,Cold Resistance,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ポカポカハーブ,"ゲルド地方など 気温の高い場所で育つ薬草の一種
実や葉は辛味成分が強く 料理に使うと
寒さに強くなる効果を得る事ができる",,Item_PlantGet_F
239,Electric Safflina,,,Materials,"This medicinal plant grows abundantly in the
Gerudo Desert. Its peculiar fibers conduct
electricity, which will increase your electricity
resistance when cooked into a dish.",Gerudo Desert,Hyrule Ridge,1,No restorative effect,Shock Resistance,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ビリビリハーブ,"ゲルド砂漠に多く自生している薬草の一種
電流を外へと逃がす特殊な繊維質を持ち
料理に使うと 電気への耐性を得る事ができる",,Item_PlantGet_L
240,Swift Carrot,,,Materials,"This carrot is cultivated extensively in villages.
It strengthens the legs and hips when cooked
into a dish, which helps increase your
movement speed.",Kakariko Village,Hateno Village,1,0.5,Speed Up,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゴーゴーニンジン,"村などでよく作られているニンジン
足腰を強くする効能があると言われており 
調理して食べると 移動速度が上がる",,Item_PlantGet_M
241,Endura Carrot,,,Materials,"Highly valued as a medicinal plant, this
carrot contains large amounts of nourishing
energy. When cooked into a dish, it boosts
your stamina beyond its maximum limit.",East Necluda,Hyrule Ridge,1,2,Extra Stamina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ガッツニンジン,"薬草としても珍重されてきた 貴重なニンジン
活力の源となる成分を大量に含んでおり
調理すると がんばりゲージが限界を超えて増える",,Item_PlantGet_Q
242,Fortified Pumpkin,,,Materials,"An extremely tough pumpkin raised for food.
When cooked, that toughness manifests itself
by considerably upping defense.",Kakariko Village,Hateno Village,1,0.5,Defense Up,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ヨロイカボチャ,"食用として栽培される とても硬いカボチャ
料理に使うと カチコチ成分が効いて
防御力を かなり上げる効果がある",,Item_Fruit_J
243,Sun Pumpkin,,,Materials,"A new variety of pumpkin that soaks up the
sunshine in Hateno Village. Baked into a dish,
it can help heal the effects of exposure
to gloom.",Hateno Village,-,1,0.5,Gloom Recovery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Homegrown in Hateno,ヒダマリカボチャ,"ハテノ村で作られている新種のカボチャ
太陽の光をたっぷり浴びて育ち 料理にすると
瘴気に蝕まれた身体を 治癒する効果が得られる",NotBuyableUntilCompleteNewSpecialty,Item_Fruit_N
244,Swift Violet,,,Materials,"This vitality-rich flower blooms mainly on
cliffsides. When cooked into a dish, the
nourishing compounds increase your
movement speed.",Hebra Mountains,Tabantha Frontier,1,No restorative effect,Speed Up,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ゴーゴースミレ,"切り立った崖にも咲く 生命力豊かな花
料理に使うと 蓄えられた滋養成分によって
移動速度が上がる効果を得られる",,Item_PlantGet_O
245,Mighty Thistle,,,Materials,"This medicinal plant is known for its sharp
thorns and for the fruit it bears. The fruit
contains a compound that increases attack
power when cooked into a dish.",East Necluda,Faron Grasslands,1,No restorative effect,Attack Up,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ツルギソウ,"葉や実にある鋭いトゲが特徴の薬草
一時的に筋力を増やす特殊な成分が含まれていて
料理に使うと 攻撃力が増える効果が発揮される",,Item_PlantGet_G
246,Armoranth,,,Materials,"This tough medicinal plant cannot be
broken, but it can be cooked. Its
durable yet flexible fibers raise your
defense when cooked into a dish.",Hyrule Ridge,Akkala Highlands,1,No restorative effect,Defense Up,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ヨロイソウ,"たとえ踏まれても折れない タフな薬草
その丈夫でしなやかな繊維質は 料理して食べると
体幹を強化する効能があり 防御力が増す",,Item_PlantGet_H
247,Blue Nightshade,,,Materials,"A plant that grows in quieter areas of Hyrule.
At night, it gives off a soft glow.
Cook with it to increase your stealth.",Great Hyrule Forest,West Necluda,1,No restorative effect,Stealth Up,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,しのび草,"主に森や草地に咲く花
夜になるとほのかに光を放つ
料理に使うと静かさを増やす効果が発揮される",,Item_PlantGet_I
248,Sundelion,,,Materials,"A wild plant that grows in the sun at high
altitudes. Soaked in sunlight, its petals can
restore health depleted by gloom when used
in cooking.",Hyrule Field,Eldin Canyon,1,No restorative effect,Gloom Recovery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ヒダマリ草,"日当たりの良い 高空に生える野草
陽の光をたっぷり浴びて育った花弁は 料理すると
瘴気に蝕まれた身体を 治癒する効能がある",,Item_PlantGet_R
249,Brightbloom Seed,,,Materials,"A seed that's often found in caves or wells.
When struck, it will take root and bloom,
giving off faint light from a small flower.",Hyrule Caves,-,1,No restorative effect,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,アカリバナの種,"洞窟や井戸に生える アカリバナと呼ばれる花の種
衝撃を与えると即座に花開き その場に根を張る
光は わずかに周囲を照らす",,LightBall_Small
250,Giant Brightbloom Seed,,,Materials,"A seed that's found underground. When
struck, it will take root and bloom, radiating
a large amount of light from a big flower.",Hyrule Caves,-,1,No restorative effect,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,巨大なアカリバナの種,"洞窟で年月をかけて成長した アカリバナの種
衝撃を受けると その場に根を張り大きな花を開く
とても明るい光で あたり一帯を照らす",,LightBall_Large
251,Muddle Bud,,,Materials,"A wildflower with a powerful odor that can
disorient and confuse, making it difficult to
tell friend from foe.",The Depths,-,1,No restorative effect,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,コンラン花,"強烈な臭いを放つ野生の花
この臭いをかぐと 前後不覚になり 一時的に
味方と敵の区別がつかなくなるという",,ConfusionFruit
252,Bomb Flower,,,Materials,"A dangerous flower that contains explosive
elements. Does not mix well with fire or
electricity, unless the goal is to blow
things up.",Hyrule Caves,The Depths,1,No restorative effect,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,バクダン花,"火薬によく似た成分を含んだ花
衝撃を与えたり 火をつけたりすると
周囲を巻き込んで爆発する",,BombFruit
253,Silent Princess,,,Materials,"This lovely flower was said to have been a
favorite of the princess of Hyrule. They were
once feared to have gone extinct, but it's not
uncommon to spot them growing in the wild.",Akkala Highlands,Hyrule Ridge,1,No restorative effect,Stealth Up,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,姫しずか,"ハイラル王国の姫が愛したと言われる 可憐な花
以前より絶滅が危惧される種だが
近年 まれに自生しているのを見かける事ができる",,Item_PlantGet_J
254,Courser Bee Honey,,,Materials,"Honey straight from the hive is chock-full of
nutrients. Cooking this into a meal unlocks
the potential of these nutrients and provides
a stamina-recovery effect.",Hyrule Field,East Necluda,1,2,Stamina Recovery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ガンバリバチのハチミツ,"巣から採れるハチミツは 栄養満点！
その高栄養価により 隠し味として使った料理は
がんばりゲージ回復の効果を持つ",,BeeHome
255,Hylian Pine Cone,,,Materials,"Grows on trees found all over Hyrule. It 
contains oil and burns well. Throw it into a fire
to increase the intensity of the flame.",Hebra Mountains,Lanayru Great Spring,1,No restorative effect,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,ハイラルボックリ,"ハイラルに幅広く分布する樹木の実
油分を多く含んでおり 燃えやすく
たき火にくべると火力が上がる",,FldObj_Pinecone_A_01
256,Korok Frond,,,Materials,"A mysterious leaf that looks like it might be
hiding something behind it. It has some
medicinal value. Attach it to a stick and it
can be used as a fan.",Hyrule Field,Lanayru Great Spring,1,0.25,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filling Out the Compendium,コログの葉,"何かが隠れていそうな 不思議な葉っぱ
ちょっとした薬効成分がある
棒などに付けて うちわ代わりに使う事もできる",,Item_PlantGet_U
257,Chuchu Jelly,,,Materials,"A gelatinous substance that came from a
Chuchu. It's unusable in this state, but
applying a bit of elemental stimulation will
change its form.",Hyrule Field,East Necluda,1,No restorative effect,Effect Duration +00:40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Chuchu,-,Filling Out the Compendium,チュチュゼリー,"チュチュとそっくりなぷるぷるした固まり
とても不安定な状態で
何か刺激を与えると変化するらしい",,Item_Enemy_40
258,Red Chuchu Jelly,,,Materials,"A jiggly substance that normally comes from
a Fire Chuchu. It consistently gives off heat.
If struck, it will explode in a ball of flame.",Eldin Canyon,Eldin Mountains,1,No restorative effect,Effect Duration +01:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fire Chuchu,-,Filling Out the Compendium,赤チュチュゼリー,"ファイアチュチュにそっくりな
ぷるぷるした固まり  常に熱を発生していて
叩くと破裂して炎を発生する",,Item_Enemy_15
259,White Chuchu Jelly,,,Materials,"A jiggly substance that came from an Ice
Chuchu. It's cool to the touch, and squeezing
it seems to relieve stress. If struck, it will
explode in a cold mist.",Hebra Mountains,Gerudo Highlands,1,No restorative effect,Effect Duration +01:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ice Chuchu,-,Filling Out the Compendium,白チュチュゼリー,"アイスチュチュにそっくりな ぷるぷるした固まり
持ってみると ひんやりしてちょっと気持ちいい
叩くと破裂して冷気をまき散らす",,Item_Enemy_17
260,Yellow Chuchu Jelly,,,Materials,"A jiggly substance that came from an
Electric Chuchu. Electricity pulses through
its gelatinous mass. If struck, it will explode
in a burst of electric current.",West Necluda,Gerudo Desert,1,No restorative effect,Effect Duration +01:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Electric Chuchu,-,Filling Out the Compendium,黄チュチュゼリー,"エレキチュチュにそっくりな ぷるぷるした固まり
しびれるほどではないが常にビリビリしている
叩くと破裂して周りに電気を発生させる",,Item_Enemy_16
261,Keese Eyeball,,,Materials,"These mysterious orbs scan their
surroundings. Take advantage of their glaring
awareness, and attach one to an arrow to
grant a homing quality to the arrow.",Hyrule Field,West Necluda,1,No restorative effect,Effect Duration +01:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Keese,-,Filling Out the Compendium,キースの目玉,"ギョロギョロと辺りを見渡す 不気味な素材
矢に付けると 常に相手を見据える その瞳の力で
狙った対象を追尾していく能力を与える",,Item_Enemy_19
262,Fire Keese Eyeball,,,Materials,"Fire Keese eyeballs are imbued with heat and
are useful in making elixirs. Attach one to an
arrow to grant a homing quality to the arrow.",Eldin Mountains,Eldin Mountains Depths,8,No restorative effect,Effect Duration +01:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fire Keese,-,Filling Out the Compendium,ファイアキースの目玉,"ファイアキースの熱気を帯びた目玉
薬の材料として重宝するほか 矢に付ける事で
命中率を上げる効能も得られる",,Item_Enemy_117
263,Ice Keese Eyeball,,,Materials,"Ice Keese eyeballs are imbued with freezing
power and are useful in making elixirs.
Attach one to an arrow to grant a homing
quality to the arrow.",Hebra Mountains,Mount Lanayru,4,No restorative effect,Effect Duration +01:20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ice Keese,-,Filling Out the Compendium,アイスキースの目玉,"アイスキースの凍てつく目玉 一般的には
薬の材料として使われているが 矢に付けると
相手に命中しやすくなる効果が得られる",,Item_Enemy_119
